E,B,fitness_true,x0_true,rep,n_points,t_start,t_end,vaf_start,vaf_end,status,fitness_map,x0_map,err,abs_err,sq_err
100000.0,0.0001,0.3,1.0,0,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,1,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,2,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,3,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,4,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,5,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,6,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,7,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,8,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,9,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,10,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,11,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,12,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,13,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,14,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,15,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,16,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,17,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,18,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,19,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,0,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,1,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,2,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,3,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,4,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,5,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,6,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,7,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,8,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,9,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,10,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,11,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,12,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,13,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,14,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,15,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,16,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
